OCC_TITLE,ANNUAL_MEAN,A_PCT10,A_PCT25,A_PCT75
Special Effects Artists and Animators,86220,46000,61300,102660
"Artists and Related Workers, All Other",67240,21750,38310,95910
Designers,53160,28540,31510,62840
Commercial and Industrial Designers,79680,44840,57070,98680
Fashion Designers,83650,37480,50630,101320
Floral Designers,32100,22830,27830,36770
Graphic Designers,59970,31310,39270,74700
Interior Designers,62570,30930,46420,77700
Merchandise Displayers and Window Trimmers,35520,26560,29240,37930
Set and Exhibit Designers,62960,30810,39180,78910
"Designers, All Other",73480,30230,44580,98030
"Entertainers and Performers, Sports and Related Workers",71870,23820,32930,80600
"Actors, Producers, and Directors",95360,35270,48810,125130
Producers and Directors,101950,38210,50860,129440
"Athletes, Coaches, Umpires, and Related Workers",54390,22300,29220,61040
Athletes and Sports Competitors,116930,25270,37890,
Coaches and Scouts,50550,22200,29240,60400
"Umpires, Referees, and Other Sports Officials",51710,19170,24350,48430
Dancers and Choreographers,50280,21420,29420,61440
Choreographers,49630,22150,29800,61750
Music Directors and Composers,65080,24440,36720,78030
Media and Communication Workers,71760,31630,46860,81950
Broadcast Announcers and Radio Disc Jockeys,56110,22860,29050,60090
"News Analysts, Reporters and Journalists",63230,29210,35250,77260
"News Analysts, Reporters, and Journalists",63230,29210,35250,77260
Public Relations Specialists,73250,37020,48670,81960
Writers and Editors,78950,38590,49610,98680
Editors,76400,36970,48380,97770
Technical Writers,81470,48890,61830,98840
Writers and Authors,81120,38500,49390,101080
Miscellaneous Media and Communication Workers,59650,29910,38440,76660
Interpreters and Translators,58400,29360,38230,75940
Court Reporters and Simultaneous Captioners,65240,34340,46480,79860
"Media and Communication Workers, All Other",59400,29080,38560,76920
Media and Communication Equipment Workers,58970,29120,36950,75180
"Broadcast, Sound, and Lighting Technicians",55750,29120,36910,64130
Audio and Video Technicians,55310,30160,38300,63260
Broadcast Technicians,51280,24580,30060,62590
Sound Engineering Technicians,67360,29110,42100,79730
Lighting Technicians,58020,30230,38470,62750
Photographers,48210,24540,30090,60000
"Television, Video, and Film Camera Operators and Editors",70020,33240,44330,80380
"Camera Operators, Television, Video, and Film",61740,30160,38430,77270
Film and Video Editors,76000,37060,47350,97950
Miscellaneous Media and Communication Equipment Workers,69290,29120,45960,95560
"Media and Communication Equipment Workers, All Other",69290,29120,45960,95560
Healthcare Practitioners and Technical Occupations,91100,36930,48700,99840
Healthcare Diagnosing or Treating Practitioners,112160,59640,63870,125510
Chiropractors,81240,37400,50470,98760
Dentists,177770,63880,101810,
Oral and Maxillofacial Surgeons,311460,78620,198490,
Orthodontists,267280,95940,150690,
Prosthodontists,143730,78850,100570,172650
"Dentists, All Other Specialists",179400,76990,86230,
Dietitians and Nutritionists,65620,42530,49490,77430
Optometrists,125440,61590,96230,141730
Pharmacists,125690,76840,121070,143600
Physician Assistants,119460,77940,99880,131740
Podiatrists,158380,61350,96320,
Therapists,84080,48760,61830,99760
Occupational Therapists,89470,60680,75710,100490
Physical Therapists,92920,61930,77750,101920
Radiation Therapists,94000,61030,75490,102060
Recreational Therapists,53900,31710,37850,61470
Respiratory Therapists,68190,47380,59280,77240
Speech-Language Pathologists,85820,51310,61970,100200
Exercise Physiologists,54030,36930,46120,60780
"Therapists, All Other",65030,37010,46980,77830
Veterinarians,109920,60760,78920,128410
Registered Nurses,82750,59450,61790,97580
Nurse Anesthetists,202470,131840,164860,
Nurse Midwives,114210,61500,96040,130450
Nurse Practitioners,118040,79470,99540,129680
Audiologists,86050,58920,71390,99340
Physicians,252480,62620,132060,
Anesthesiologists,331190,117590,,
Cardiologists,353970,165610,,
Dermatologists,302740,100940,170020,
Emergency Medicine Physicians,310640,103310,,
Family Medicine Physicians,235930,63580,143830,
General Internal Medicine Physicians,242190,62850,122140,
Neurologists,267660,78650,130920,
Obstetricians and Gynecologists,296210,101240,198290,
"Pediatricians, General",198420,75670,129410,
"Physicians, Pathologists",267180,63340,136160,
Psychiatrists,249760,64400,128380,
Radiologists,301720,78780,165610,
"Physicians, All Other",231500,61260,96450,
Surgeons,294520,79240,164060,
"Ophthalmologists, Except Pediatric",270090,100940,165380,
"Orthopedic Surgeons, Except Pediatric",306220,79870,193280,
Pediatric Surgeons,290310,99910,172240,
"Surgeons, All Other",297800,78610,129070,
Miscellaneous Healthcare Diagnosing or Treating Practitioners,84550,59500,70390,98680
Acupuncturists,71770,29580,38000,98440
Dental Hygienists,81360,60100,73540,98260
"Healthcare Diagnosing or Treating Practitioners, All Other",113230,58550,71120,143600
Health Technologists and Technicians,50300,29270,36770,60110
Clinical Laboratory Technologists and Technicians,56910,30280,37990,74530
Diagnostic Related Technologists and Technicians,70780,46770,58860,79340
Cardiovascular Technologists and Technicians,62020,29910,37990,77600
Diagnostic Medical Sonographers,80680,59640,62560,95360
Nuclear Medicine Technologists,84850,60550,74820,98410
Radiologic Technologists and Technicians,66490,46850,48900,77290
Magnetic Resonance Imaging Technologists,77820,59110,62090,90050
Medical Dosimetrists,124750,96040,103640,132510
Emergency Medical Technicians and Paramedics,41480,28320,29380,46950
Emergency Medical Technicians,36690,23620,28920,37660
Paramedics,49500,34420,37120,58810
Health Practitioner Support Technologists and Technicians,40170,28750,29650,46640
Dietetic Technicians,34160,22790,28400,37200
Pharmacy Technicians,37970,28740,29460,45850
Psychiatric Technicians,38000,26980,29210,45620
Surgical Technologists,53590,36930,46440,60780
Veterinary Technologists and Technicians,38250,28370,29810,45750
Ophthalmic Medical Technicians,41120,28910,30950,46700
Licensed Practical and Licensed Vocational Nurses,51850,37150,46410,59770
Medical Records Specialists,48310,29430,36930,59120
"Opticians, Dispensing",43060,28910,30310,47660
Miscellaneous Health Technologists and Technicians,51910,29520,36830,60020
Orthotists and Prosthetists,79820,41730,55710,95810
Hearing Aid Specialists,59960,33040,39130,75910
"Health Technologists and Technicians, All Other",49230,29430,36690,59040
Other Healthcare Practitioners and Technical Occupations,61470,30280,37990,76020
Health Information Technologists and Medical Registrars,61410,29680,37500,76960
Miscellaneous Health Practitioners and Technical Workers,61490,31200,38920,75560
Athletic Trainers,54650,36960,46590,60780
Genetic Counselors,86640,49120,76300,100200
Surgical Assistants,59170,32680,37850,75410
"Healthcare Practitioners and Technical Workers, All Other",64880,29570,37440,78230
Healthcare Support Occupations,33330,22890,28540,37240
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",30440,22550,26480,35730
Home Health and Personal Care Aides,29260,22290,24090,30230
"Nursing Assistants, Orderlies, and Psychiatric Aides",33290,23840,28890,37240
Nursing Assistants,33250,23880,28900,37170
Orderlies,33440,23970,28560,37380
Psychiatric Aides,34640,23120,25560,40960
Occupational Therapy and Physical Therapist Assistants and Aides,53900,27130,36150,64700
Occupational Therapy Assistants and Aides,61760,38200,49060,76500
Occupational Therapy Assistants,63560,46810,50880,76740
Occupational Therapy Aides,39230,23860,28350,46950
Physical Therapist Assistants and Aides,51280,24440,30230,62920
Physical Therapist Assistants,60740,37280,48670,75870
Physical Therapist Aides,30370,22140,24240,35320
Other Healthcare Support Occupations,39360,28780,30110,46710
Massage Therapists,49260,24450,34770,60510
Miscellaneous Healthcare Support Occupations,38860,28820,30100,46360
Dental Assistants,42510,29580,37000,47580
Medical Assistants,38190,29070,30200,43490
Medical Equipment Preparers,42420,29490,35230,48150
Medical Transcriptionists,34220,22810,28220,38220
Pharmacy Aides,34560,22840,27880,37500
Veterinary Assistants and Laboratory Animal Caretakers,31780,22920,28200,36520
Phlebotomists,38450,28990,30430,45090
"Healthcare Support Workers, All Other",40690,25810,29990,47770
Protective Service Occupations,53420,27370,31450,64610
Supervisors of Protective Service Workers,81010,40290,51790,100750
First-Line Supervisors of Law Enforcement Workers,90110,47520,61600,107300
First-Line Supervisors of Correctional Officers,69750,40610,47680,84760
First-Line Supervisors of Police and Detectives,98760,51790,67210,127020
First-Line Supervisors of Firefighting and Prevention Workers,83270,47450,61270,100350
"Miscellaneous First-Line Supervisors, Protective Service Workers",57730,31850,39830,65580
First-Line Supervisors of Security Workers,55080,31440,38290,64010
"First-Line Supervisors of Protective Service Workers, All Other",63910,37300,50020,76880
Firefighting and Prevention Workers,55910,29070,37320,69650
Firefighters,55290,29030,37140,65980
Fire Inspectors,67230,37000,47850,80510
Fire Inspectors and Investigators,69680,40190,50480,81850
